Num,Name,_7s,_6s,_6p,_5s,_5p,_5d,_4s,_4p,_4d,_4f,_3s,_3p,_3d,_2s,_2p,_1s,_1p,_1d,_1f
1,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,He,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
3,Li,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
4,Be,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
5,B,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0
6,C,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0
7,N,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,0
8,O,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0
9,F,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,5,0,0
10,Ne,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,6,0,0
11,Na,0,0,0,0,0,0,0,0,0,0,2,0,0,2,6,1,0,0,0
12,Mg,0,0,0,0,0,0,0,0,0,0,2,0,0,2,6,2,0,0,0
13,Al,0,0,0,0,0,0,0,0,0,0,2,0,0,2,6,2,1,0,0
14,Si,0,0,0,0,0,0,0,0,0,0,2,0,0,2,6,2,2,0,0
15,P,0,0,0,0,0,0,0,0,0,0,2,0,0,2,6,2,3,0,0
16,S,0,0,0,0,0,0,0,0,0,0,2,0,0,2,6,2,4,0,0
17,Cl,0,0,0,0,0,0,0,0,0,0,2,0,0,2,6,2,5,0,0
18,Ar,0,0,0,0,0,0,0,0,0,0,2,0,0,2,6,2,6,0,0
19,K,0,0,0,0,0,0,2,0,0,0,2,6,0,2,6,1,0,0,0
20,Ca,0,0,0,0,0,0,2,0,0,0,2,6,0,2,6,2,0,0,0
21,Sc,0,0,0,0,0,0,2,0,0,0,2,6,0,2,6,2,0,1,0
22,Ti,0,0,0,0,0,0,2,0,0,0,2,6,0,2,6,2,0,2,0
23,V,0,0,0,0,0,0,2,0,0,0,2,6,0,2,6,2,0,3,0
24,Cr,0,0,0,0,0,0,2,0,0,0,2,6,0,2,6,1,0,5,0
25,Mn,0,0,0,0,0,0,2,0,0,0,2,6,0,2,6,2,0,5,0
26,Fe,0,0,0,0,0,0,2,0,0,0,2,6,0,2,6,2,0,6,0
27,Co,0,0,0,0,0,0,2,0,0,0,2,6,0,2,6,2,0,7,0
28,Ni,0,0,0,0,0,0,2,0,0,0,2,6,0,2,6,2,0,8,0
29,Cu,0,0,0,0,0,0,2,0,0,0,2,6,0,2,6,1,0,10,0
30,Zn,0,0,0,0,0,0,2,0,0,0,2,6,0,2,6,2,0,10,0
31,Ga,0,0,0,0,0,0,2,0,0,0,2,6,0,2,6,2,1,10,0
32,Ge,0,0,0,0,0,0,2,0,0,0,2,6,0,2,6,2,2,10,0
33,As,0,0,0,0,0,0,2,0,0,0,2,6,0,2,6,2,3,10,0
34,Se,0,0,0,0,0,0,2,0,0,0,2,6,0,2,6,2,4,10,0
35,Br,0,0,0,0,0,0,2,0,0,0,2,6,0,2,6,2,5,10,0
36,Kr,0,0,0,0,0,0,2,0,0,0,2,6,0,2,6,2,6,10,0
37,Rb,0,0,0,2,0,0,2,6,0,0,2,6,10,2,6,1,0,0,0
38,Sr,0,0,0,2,0,0,2,6,0,0,2,6,10,2,6,2,0,0,0
39,Y,0,0,0,2,0,0,2,6,0,0,2,6,10,2,6,2,0,1,0
40,Zr,0,0,0,2,0,0,2,6,0,0,2,6,10,2,6,2,0,2,0
41,Nb,0,0,0,2,0,0,2,6,0,0,2,6,10,2,6,1,0,4,0
42,Mo,0,0,0,2,0,0,2,6,0,0,2,6,10,2,6,1,0,5,0
43,Tc,0,0,0,2,0,0,2,6,0,0,2,6,10,2,6,2,0,5,0
44,Ru,0,0,0,2,0,0,2,6,0,0,2,6,10,2,6,1,0,7,0
45,Rh,0,0,0,2,0,0,2,6,0,0,2,6,10,2,6,1,0,8,0
46,Pd,0,0,0,2,0,0,2,6,0,0,2,6,10,2,6,0,0,10,0
47,Ag,0,0,0,2,0,0,2,6,0,0,2,6,10,2,6,1,0,10,0
48,Cd,0,0,0,2,0,0,2,6,0,0,2,6,10,2,6,2,0,10,0
49,In,0,0,0,2,0,0,2,6,0,0,2,6,10,2,6,2,1,10,0
50,Sn,0,0,0,2,0,0,2,6,0,0,2,6,10,2,6,2,2,10,0
51,Sb,0,0,0,2,0,0,2,6,0,0,2,6,10,2,6,2,3,10,0
52,Te,0,0,0,2,0,0,2,6,0,0,2,6,10,2,6,2,4,10,0
53,I,0,0,0,2,0,0,2,6,0,0,2,6,10,2,6,2,5,10,0
54,Xe,0,0,0,2,0,0,2,6,0,0,2,6,10,2,6,2,6,10,0
55,Cs,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,1,0,0,0
56,Ba,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,2,0,0,0
57,La,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,2,0,1,0
58,Ce,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,2,0,1,1
59,Pr,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,2,0,0,3
60,Nd,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,2,0,0,4
61,Pm,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,2,0,0,5
62,Sm,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,2,0,0,6
63,Eu,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,2,0,0,7
64,Gd,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,2,0,1,7
65,Tb,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,2,0,0,9
66,Dy,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,2,0,0,10
67,Ho,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,2,0,0,11
68,Er,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,2,0,0,12
69,Tm,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,2,0,0,13
70,Yb,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,2,0,0,14
71,Lu,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,2,0,1,14
72,Hf,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,2,0,2,14
73,Ta,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,2,0,3,14
74,W,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,2,0,4,14
75,Re,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,2,0,5,14
76,Os,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,2,0,6,14
77,Ir,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,2,0,7,14
78,Pt,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,1,0,9,14
79,Au,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,1,0,10,14
80,Hg,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,2,0,10,14
81,Tl,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,2,1,10,14
82,Pb,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,2,2,10,14
83,Bi,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,2,3,10,14
84,Po,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,2,4,10,14
85,At,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,2,5,10,14
86,Rn,0,2,0,2,6,0,2,6,10,0,2,6,10,2,6,2,6,10,14
87,Fr,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,1,0,0,0
88,Ra,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,0,0,0
89,Ac,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,0,1,0
90,Th,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,0,2,0
91,Pa,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,0,1,2
92,U,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,0,1,3
93,Np,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,0,1,4
94,Pu,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,0,0,6
95,Am,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,0,0,7
96,Cm,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,0,1,7
97,Bk,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,0,0,9
98,Cf,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,0,0,10
99,Es,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,0,0,11
100,Fm,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,0,0,12
101,Md,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,0,0,13
102,No,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,0,0,14
103,Lr,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,1,0,14
104,Rf,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,0,2,14
105,Db,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,0,3,14
106,Sg,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,0,4,14
107,Bh,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,0,5,14
108,Hs,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,0,6,14
109,Mt,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,0,7,14
110,Ds,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,0,8,14
111,Rg,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,0,9,14
112,Cn,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,0,10,14
113,Nh,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,1,10,14
114,Fl,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,2,10,14
115,Mc,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,3,10,14
116,Lv,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,4,10,14
117,Ts,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,5,10,14
118,Og,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,2,6,10,14
